City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
47,kabanjahe,3.1001,98.4908,22.16,79,{'all': 87},"{'speed': 0.52, 'deg': 309, 'gust': 0.44}",ID,1681265236
48,bethel,41.3712,-73.414,19.46,31,{'all': 100},"{'speed': 0.89, 'deg': 272, 'gust': 1.34}",US,1681265237
49,lorengau,-2.0226,147.2712,28.57,73,{'all': 99},"{'speed': 3.72, 'deg': 307, 'gust': 4.97}",PG,1681264960
50,uttaradit,17.6667,100.5,32.41,38,{'all': 5},"{'speed': 2.11, 'deg': 223, 'gust': 3.24}",TH,1681265238
51,kapaa,22.0752,-159.319,26.99,82,{'all': 100},"{'speed': 3.58, 'deg': 59, 'gust': 6.71}",US,1681265238
52,jutai,-5.1833,-68.9,23.21,96,{'all': 12},"{'speed': 0.58, 'deg': 346, 'gust': 0.64}",BR,1681265239
53,punta arenas,-53.15,-70.9167,2.75,68,{'all': 2},"{'speed': 5.92, 'deg': 215, 'gust': 10.34}",CL,1681265240
54,kalmunai,7.4167,81.8167,27.44,76,{'all': 56},"{'speed': 1.44, 'deg': 6, 'gust': 2.78}",LK,1681265056
55,port alfred,-33.5906,26.891,13.6,78,{'all': 96},"{'speed': 2.74, 'deg': 311, 'gust': 2.6}",ZA,1681265067
56,camabatela,-8.1881,15.375,17.27,99,{'all': 100},"{'speed': 0.78, 'deg': 239, 'gust': 1.1}",AO,1681265241
57,feni,23.0186,91.41,29.16,48,{'all': 0},"{'speed': 1.81, 'deg': 107, 'gust': 2.03}",BD,1681265242
58,clyde river,70.4692,-68.5914,-19.82,91,{'all': 98},"{'speed': 3.76, 'deg': 313, 'gust': 4.77}",CA,1681265242
59,margate,51.3813,1.3862,8.83,88,{'all': 100},"{'speed': 1.79, 'deg': 146, 'gust': 2.24}",GB,1681265030
60,roald,62.5833,6.1333,7.96,87,{'all': 100},"{'speed': 3.6, 'deg': 40}",NO,1681265244
61,thompson,55.7435,-97.8558,1.27,100,{'all': 100},"{'speed': 1.22, 'deg': 106, 'gust': 3.05}",CA,1681265244
62,new norfolk,-42.7826,147.0587,17.17,65,{'all': 83},"{'speed': 1.34, 'deg': 117, 'gust': 3.13}",AU,1681265092
63,mansa,29.9833,75.3833,25.63,31,{'all': 2},"{'speed': 3.54, 'deg': 337, 'gust': 7.19}",IN,1681265245
64,lubao,14.9167,120.55,30.74,59,{'all': 100},"{'speed': 1.37, 'deg': 56, 'gust': 2.39}",PH,1681265245
65,huichapan,20.3833,-99.65,14.78,74,{'all': 12},"{'speed': 4.68, 'deg': 53, 'gust': 6.47}",MX,1681265246
66,cabedelo,-6.9811,-34.8339,25.79,79,{'all': 100},"{'speed': 4.18, 'deg': 152, 'gust': 5.91}",BR,1681265246
67,bilma,18.6853,12.9164,21.79,14,{'all': 4},"{'speed': 6.16, 'deg': 29, 'gust': 11.47}",NE,1681265247
68,nanakuli,21.3906,-158.1547,26.17,70,{'all': 100},"{'speed': 8.71, 'deg': 71, 'gust': 10.98}",US,1681265247
69,saint-philippe,-21.3585,55.7679,23.77,80,{'all': 0},"{'speed': 2.65, 'deg': 350, 'gust': 3.35}",RE,1681264979
70,caravelas,-17.7125,-39.2481,23.27,95,{'all': 99},"{'speed': 2.96, 'deg': 139, 'gust': 6.44}",BR,1681265248
71,carsamba,41.1989,36.7219,8.79,95,{'all': 100},"{'speed': 1.54, 'deg': 288, 'gust': 2.34}",TR,1681265249
72,ilulissat,69.2167,-51.1,-9.33,81,{'all': 98},"{'speed': 2.65, 'deg': 130, 'gust': 2.61}",GL,1681264997
73,palmer,42.1584,-72.3287,20.14,26,{'all': 100},"{'speed': 0.89, 'deg': 321, 'gust': 1.34}",US,1681265250
74,bluff,-46.6,168.3333,11.56,90,{'all': 100},"{'speed': 10.05, 'deg': 126, 'gust': 11.69}",NZ,1681265087
75,husavik,66.0449,-17.3389,1.23,87,{'all': 100},"{'speed': 2.24, 'deg': 180, 'gust': 2.47}",IS,1681265251
76,puerto carreno,6.189,-67.4859,25.98,77,{'all': 99},"{'speed': 1.99, 'deg': 228, 'gust': 2.83}",CO,1681265251
77,egvekinot,66.3167,-179.1667,-17.05,75,{'all': 29},"{'speed': 3.24, 'deg': 5, 'gust': 3.79}",RU,1681265252
78,jinka,5.65,36.65,16.85,83,{'all': 100},"{'speed': 1.41, 'deg': 32, 'gust': 1.8}",ET,1681265252
79,olafsvik,64.8945,-23.7142,4.67,83,{'all': 100},"{'speed': 2.6, 'deg': 132, 'gust': 3.14}",IS,1681265253
80,busselton,-33.65,115.3333,20.34,69,{'all': 75},"{'speed': 6.92, 'deg': 280, 'gust': 8.46}",AU,1681265050
81,saldanha,-33.0117,17.9442,9.03,74,{'all': 99},"{'speed': 2.17, 'deg': 136, 'gust': 2.49}",ZA,1681265113
82,urcos,-13.6861,-71.6228,10.94,93,{'all': 22},"{'speed': 1.72, 'deg': 50, 'gust': 1.66}",PE,1681265254
83,kuito,-12.3833,16.9333,14.29,95,{'all': 100},"{'speed': 1.48, 'deg': 95, 'gust': 2.56}",AO,1681265255
84,northam,51.0333,-4.2167,7.36,88,{'all': 85},"{'speed': 10.02, 'deg': 253, 'gust': 14.41}",GB,1681264962
85,kodiak,57.79,-152.4072,3.33,88,{'all': 100},"{'speed': 1.21, 'deg': 330, 'gust': 1.49}",US,1681265255
86,semirom,31.4167,51.5667,7.57,60,{'all': 97},"{'speed': 2.56, 'deg': 221, 'gust': 5.8}",IR,1681265256
87,sisak,45.4661,16.3783,7.99,78,{'all': 100},"{'speed': 0.85, 'deg': 222, 'gust': 0.84}",HR,1681265256
88,jamestown,42.097,-79.2353,16.7,43,{'all': 100},"{'speed': 0.89, 'deg': 250, 'gust': 2.24}",US,1681264991
89,mahebourg,-20.4081,57.7,25.14,83,{'all': 97},"{'speed': 5.1, 'deg': 6, 'gust': 8.17}",MU,1681265257
90,fairbanks,64.8378,-147.7164,-8.28,77,{'all': 100},"{'speed': 0, 'deg': 0}",US,1681265100
91,poum,-20.2333,164.0167,26.46,76,{'all': 1},"{'speed': 1.54, 'deg': 199, 'gust': 1.36}",NC,1681265031
92,wencheng,33.0559,113.7978,19.55,48,{'all': 50},"{'speed': 4.3, 'deg': 122, 'gust': 6.49}",CN,1681265258
93,boundiali,9.5217,-6.4869,28.54,42,{'all': 98},"{'speed': 0.56, 'deg': 357, 'gust': 0.93}",CI,1681265258
94,yarmouth,41.7057,-70.2286,16.47,59,{'all': 100},"{'speed': 6.26, 'deg': 229, 'gust': 11.62}",US,1681265100
95,sistranda,63.7256,8.834,8.98,87,{'all': 100},"{'speed': 1.13, 'deg': 25, 'gust': 1.34}",NO,1681265008
96,kurumkan,54.3,110.3,-1.14,50,{'all': 86},"{'speed': 1.27, 'deg': 107, 'gust': 1.23}",RU,1681265150
97,zhuhai,22.2769,113.5678,26.03,83,{'all': 0},"{'speed': 1.03, 'deg': 0}",CN,1681265048
98,lianzhou,24.7811,112.3825,25.94,79,{'all': 80},"{'speed': 0.43, 'deg': 93, 'gust': 0.44}",CN,1681265259
99,general roca,-39.0333,-67.5833,13.68,51,{'all': 5},"{'speed': 3.83, 'deg': 102, 'gust': 6.83}",AR,1681265224
100,meridian,43.6121,-116.3915,14.08,41,{'all': 0},"{'speed': 4.63, 'deg': 350}",US,1681265260
101,deputatskiy,69.3,139.9,-17.77,89,{'all': 100},"{'speed': 1.65, 'deg': 116, 'gust': 1.6}",RU,1681265260
102,alapur,27.9555,79.2269,27.46,22,{'all': 6},"{'speed': 4.47, 'deg': 287, 'gust': 9.14}",IN,1681265261
103,chunoyar,57.4467,97.3217,-4.21,73,{'all': 100},"{'speed': 5.11, 'deg': 269, 'gust': 9.41}",RU,1681265261
104,cayenne,4.9333,-52.3333,26.02,83,{'all': 75},"{'speed': 2.06, 'deg': 70}",GF,1681265261
105,hithadhoo,-0.6,73.0833,28.09,70,{'all': 13},"{'speed': 0.62, 'deg': 132, 'gust': 0.79}",MV,1681265261
106,kaitangata,-46.2817,169.8464,12.08,96,{'all': 100},"{'speed': 4.06, 'deg': 141, 'gust': 7.25}",NZ,1681265016
107,airai,-8.9266,125.4092,23.64,61,{'all': 33},"{'speed': 0.66, 'deg': 295, 'gust': 1.86}",TL,1681265262
108,bengkulu,-3.8004,102.2655,27.33,76,{'all': 98},"{'speed': 1.29, 'deg': 349, 'gust': 1.69}",ID,1681265081
109,gamba,-2.65,10.0,24.84,91,{'all': 100},"{'speed': 1.66, 'deg': 19, 'gust': 2.13}",GA,1681265079
110,guerrero negro,27.9769,-114.0611,15.05,85,{'all': 0},"{'speed': 7.59, 'deg': 328, 'gust': 10.73}",MX,1681265154
111,waterloo,43.4668,-80.5164,17.93,42,{'all': 100},"{'speed': 9.77, 'deg': 260}",CA,1681265078
112,grand-santi,4.25,-54.3833,23.65,92,{'all': 99},"{'speed': 1.3, 'deg': 42, 'gust': 5.13}",GF,1681265263
113,butaritari,3.0707,172.7902,27.95,73,{'all': 100},"{'speed': 5.4, 'deg': 103, 'gust': 5.89}",KI,1681265263
114,labuhan,-6.8844,112.2051,28.44,73,{'all': 98},"{'speed': 2.52, 'deg': 250, 'gust': 3.31}",ID,1681265056
115,zhigansk,66.7697,123.3711,-15.63,88,{'all': 14},"{'speed': 3.08, 'deg': 13, 'gust': 3.49}",RU,1681265264
116,wenling,28.3669,121.36,19.06,84,{'all': 82},"{'speed': 5.81, 'deg': 47, 'gust': 7.81}",CN,1681265265
117,kokuy,52.2037,117.5529,-3.28,63,{'all': 2},"{'speed': 2.72, 'deg': 279, 'gust': 3.93}",RU,1681265265
118,port lincoln,-34.7333,135.8667,17.8,57,{'all': 0},"{'speed': 8.63, 'deg': 226, 'gust': 10.07}",AU,1681265265
119,portobelo,9.55,-79.65,24.5,88,{'all': 53},"{'speed': 4.9, 'deg': 5, 'gust': 6.85}",PA,1681265265
120,zhezkazgan,47.8043,67.7144,-0.01,74,{'all': 0},"{'speed': 5, 'deg': 60}",KZ,1681265266
121,chokurdakh,70.6333,147.9167,-16.74,80,{'all': 99},"{'speed': 1.37, 'deg': 123, 'gust': 1.77}",RU,1681265266
122,sur,22.5667,59.5289,27.89,51,{'all': 100},"{'speed': 0.49, 'deg': 196, 'gust': 1.72}",OM,1681265266
123,lagoa,39.05,-27.9833,14.11,76,{'all': 100},"{'speed': 3.92, 'deg': 8, 'gust': 3.65}",PT,1681265035
124,hermanus,-34.4187,19.2345,12.67,75,{'all': 97},"{'speed': 3.92, 'deg': 64, 'gust': 4.76}",ZA,1681265267
125,beringovskiy,63.05,179.3167,-17.37,85,{'all': 100},"{'speed': 6.59, 'deg': 352, 'gust': 7.81}",RU,1681265267
126,puerto ayora,-0.7393,-90.3518,27.53,88,{'all': 58},"{'speed': 0.89, 'deg': 127, 'gust': 1.79}",EC,1681264994
127,gravdal,68.1214,13.5031,3.61,77,{'all': 100},"{'speed': 5.48, 'deg': 93, 'gust': 6.62}",NO,1681265267
128,bendigo,-36.7667,144.2833,13.81,71,{'all': 88},"{'speed': 3.98, 'deg': 39, 'gust': 4.59}",AU,1681265268
129,cherskiy,68.75,161.3,-17.76,84,{'all': 87},"{'speed': 0.41, 'deg': 243, 'gust': 0.55}",RU,1681265268
130,ponta do sol,32.6667,-17.1,18.89,69,{'all': 0},"{'speed': 1.87, 'deg': 28, 'gust': 2.78}",PT,1681265268
131,saskylakh,71.9167,114.0833,-18.5,96,{'all': 84},"{'speed': 3.47, 'deg': 114, 'gust': 7.63}",RU,1681264995
132,kruisfontein,-34.0033,24.7314,8.82,83,{'all': 64},"{'speed': 2, 'deg': 332, 'gust': 1.91}",ZA,1681265269
133,troitskoye,52.9821,84.6757,-2.01,56,{'all': 23},"{'speed': 4.59, 'deg': 290, 'gust': 7.21}",RU,1681265269
134,sayyan,15.1718,44.3244,15.69,62,{'all': 9},"{'speed': 0.64, 'deg': 181, 'gust': 0.81}",YE,1681265269
135,port augusta,-32.5,137.7667,23.91,40,{'all': 0},"{'speed': 8.59, 'deg': 216, 'gust': 11.37}",AU,1681265119
136,moyale,3.5167,39.0584,19.72,82,{'all': 95},"{'speed': 2.52, 'deg': 70, 'gust': 2.94}",KE,1681265270
137,tuktoyaktuk,69.4541,-133.0374,-16.0,72,{'all': 75},"{'speed': 5.66, 'deg': 260}",CA,1681264985
138,pinheiro machado,-31.5783,-53.3811,18.92,61,{'all': 25},"{'speed': 1.2, 'deg': 327, 'gust': 1.29}",BR,1681265270
139,terney,45.0503,136.6092,5.78,39,{'all': 78},"{'speed': 7.14, 'deg': 245, 'gust': 11.79}",RU,1681265271
140,cape town,-33.9258,18.4232,15.77,76,{'all': 0},"{'speed': 1.03, 'deg': 300}",ZA,1681265078
141,baoning,25.3378,110.026,21.6,93,{'all': 100},"{'speed': 0.74, 'deg': 57, 'gust': 1.32}",CN,1681265271
142,alofi,-19.0595,-169.9187,26.74,76,{'all': 17},"{'speed': 8.14, 'deg': 106, 'gust': 8.46}",NU,1681265271
143,visnes,59.3556,5.2242,6.03,87,{'all': 40},"{'speed': 5.14, 'deg': 150}",NO,1681265271
144,ribeira grande,38.5167,-28.7,14.87,88,{'all': 100},"{'speed': 3.58, 'deg': 18, 'gust': 4.47}",PT,1681265023
145,suoyarvi,62.0833,32.35,0.16,96,{'all': 100},"{'speed': 1.14, 'deg': 29, 'gust': 1.36}",RU,1681265272
146,masumbwe,-3.6333,32.1833,16.84,97,{'all': 90},"{'speed': 0.2, 'deg': 347, 'gust': 0.47}",TZ,1681265272
147,kilakarai,9.2333,78.7833,29.02,66,{'all': 11},"{'speed': 3.7, 'deg': 86, 'gust': 4.28}",IN,1681265273
148,aguas verdes,-3.4814,-80.245,24.7,91,{'all': 85},"{'speed': 0.77, 'deg': 177, 'gust': 1.03}",PE,1681265273
149,port hedland,-20.3167,118.5667,33.03,49,{'all': 100},"{'speed': 7.72, 'deg': 80}",AU,1681265273
150,marau,-28.4492,-52.2,18.21,70,{'all': 3},"{'speed': 1.46, 'deg': 35, 'gust': 1.37}",BR,1681265273
151,terra santa,-2.1042,-56.4869,23.9,94,{'all': 96},"{'speed': 1.2, 'deg': 66, 'gust': 1.59}",BR,1681265273
152,luwuk,-0.9516,122.7875,30.62,65,{'all': 35},"{'speed': 1.44, 'deg': 154, 'gust': 1.71}",ID,1681265237
153,sitka,57.0531,-135.33,4.23,63,{'all': 20},"{'speed': 2.78, 'deg': 310, 'gust': 3.3}",US,1681265044
154,gornopravdinsk,60.05,69.9,-1.91,92,{'all': 63},"{'speed': 3.07, 'deg': 241, 'gust': 8.99}",RU,1681265274
155,chuguyevka,44.1653,133.8633,5.5,25,{'all': 62},"{'speed': 7.85, 'deg': 265, 'gust': 12.54}",RU,1681265274
156,madimba,-10.4,40.3333,24.13,91,{'all': 82},"{'speed': 1.82, 'deg': 175, 'gust': 2.07}",TZ,1681265275
